N,G_N,Pred_Series,Pred_Integral,Bias_Series,Bias_Integral,Abs_Bias_Series,Abs_Bias_Integral,Diff,Winner
1000000,10804,10932.364663432058,10834.164771754893,-1.174171072626472,-0.27842267853940955,1.174171072626472,0.27842267853940955,0.8957483940870625,Integral
1005000,21866,22294.419541721974,22094.27691460228,-1.921644745763514,-1.0331947747582098,1.921644745763514,1.0331947747582098,0.8884499710053042,Integral
1010000,11184,11135.583628156935,11035.67472339051,0.43478971071297146,1.3440526322791069,0.43478971071297146,1.3440526322791069,-0.9092629215661354,Series
1015000,13736,13776.137233659878,13652.608579402087,-0.29135332335256303,0.6108094296625968,0.29135332335256303,0.6108094296625968,-0.31945610631003374,Series
1020000,23602,23714.04864816604,23501.53040004388,-0.47249902295661517,0.4275023721686289,0.47249902295661517,0.4275023721686289,0.04499665078798626,Integral
1025000,11480,11447.97750284577,11345.442822326564,0.27972187354727057,1.186001990232082,0.27972187354727057,1.186001990232082,-0.9062801166848113,Series
1030000,11130,11318.529730099466,11217.21216653696,-1.6656733214925203,-0.7774852186279382,1.6656733214925203,0.7774852186279382,0.8881881028645822,Integral
1035000,23358,23578.37963688248,23367.43786774597,-0.9346682862708331,-0.04038897118027139,0.9346682862708331,0.04038897118027139,0.8942793150905617,Integral
1040000,12138,12326.225080349133,12216.011828388366,-1.5270293956355532,-0.6386030849043285,1.5270293956355532,0.6386030849043285,0.8884263107312247,Integral
1045000,13322,13346.741466220346,13227.470361036327,-0.1853745821252723,0.7146463865239552,0.1853745821252723,0.7146463865239552,-0.5292718043986828,Series
1050000,27130,27336.934811458505,27092.77889585548,-0.756978837919188,0.13738385526119953,0.756978837919188,0.13738385526119953,0.6195949826579884,Integral
1055000,11446,11490.735401040447,11388.164575262272,-0.3893171279219981,0.5078555403331653,0.3893171279219981,0.5078555403331653,-0.1185384124111672,Series
1060000,11616,11706.744452279589,11602.30324003972,-0.7751467767105691,0.11805207704804446,0.7751467767105691,0.11805207704804446,0.6570946996625247,Integral
1065000,23008,23388.4833822341,23179.938902421323,-1.6267980100116888,-0.7417573581411078,1.6267980100116888,0.7417573581411078,0.885040651870581,Integral
1070000,11492,11682.933172195657,11578.818838348956,-1.6342914008107217,-0.7498073815734354,1.6342914008107217,0.7498073815734354,0.8844840192372863,Integral
1075000,11880,11901.593373536898,11795.58825209505,-0.18143262720528472,0.7156213501260229,0.18143262720528472,0.7156213501260229,-0.5341887229207382,Series
1080000,23206,23327.394221831462,23119.73454280073,-0.5203934081838119,0.3731247737277065,0.5203934081838119,0.3731247737277065,0.14726863445610533,Integral
1085000,14238,14535.486640543135,14406.162134538508,-2.046623191227528,-1.1672930858895632,2.046623191227528,1.1672930858895632,0.8793301053379647,Integral
1090000,11658,11864.412658943207,11758.909884630648,-1.7397629775429004,-0.8581567987228221,1.7397629775429004,0.8581567987228221,0.8816061788200783,Integral
1095000,23548,23932.27711359075,23719.57631694438,-1.605685542444789,-0.7233532110850309,1.605685542444789,0.7233532110850309,0.882332331359758,Integral
1100000,12990,13161.441984576259,13044.530523710615,-1.3026079116343747,-0.4180336242189522,1.3026079116343747,0.4180336242189522,0.8845742874154225,Integral
1105000,13742,13836.362407343226,13713.520906072918,-0.681988549917901,0.20767164116452913,0.681988549917901,0.20767164116452913,0.4743169087533719,Integral
1110000,24382,24553.894263465267,24336.01585963179,-0.7000692502005075,0.18895508875998482,0.7000692502005075,0.18895508875998482,0.5111141614405227,Integral
1115000,12034,12035.402105109824,11928.66238495233,-0.011649840176333177,0.8830630933150648,0.011649840176333177,0.8830630933150648,-0.8714132531387316,Series
1120000,14286,14431.712857053468,14303.787684580304,-1.009671260069805,-0.12435646398386696,1.009671260069805,0.12435646398386696,0.885314796085938,Integral
1125000,23852,24143.27475103633,23929.37612172849,-1.2064425975346489,-0.32335202278102315,1.2064425975346489,0.32335202278102315,0.8830905747536257,Integral
1130000,11930,12225.979250214012,12117.718712590602,-2.4209042413419004,-1.5491258465634938,2.4209042413419004,1.5491258465634938,0.8717783947784066,Integral
1135000,12100,12216.024778523877,12107.908241020668,-0.9497752388964699,-0.06531467585685725,0.9497752388964699,0.06531467585685725,0.8844605630396126,Integral
1140000,25578,25850.321107796335,25621.653391598215,-1.0534534819151797,-0.1703769500391775,1.0534534819151797,0.1703769500391775,0.8830765318760022,Integral
1145000,12244,12306.166809095626,12197.364182640798,-0.5051679378316097,0.3823434035492141,0.5051679378316097,0.3823434035492141,0.12282453428239565,Integral
1150000,12736,12882.844505641211,12769.001333472674,-1.1398453623880191,-0.2584488215704381,1.1398453623880191,0.2584488215704381,0.881396540817581,Integral
1155000,32524,32912.802773467876,32622.106344164305,-1.1813116498887275,-0.30073577447538274,1.1813116498887275,0.30073577447538274,0.8805758754133448,Integral
1160000,12604,12846.103061357735,12732.699473723747,-1.8846420599411458,-1.0107791673662152,1.8846420599411458,1.0107791673662152,0.8738628925749305,Integral
1165000,12458,12486.11816300934,12375.947911026102,-0.22519539413491185,0.6629963988519663,0.22519539413491185,0.6629963988519663,-0.4378010047170544,Series
1170000,26932,27223.10454362882,26983.023979525005,-1.0693289707729075,-0.189096594820962,1.0693289707729075,0.189096594820962,0.8802323759519455,Integral
1175000,12652,12800.457302384575,12687.626359173682,-1.1597812396664864,-0.28079609349406076,1.1597812396664864,0.28079609349406076,0.8789851461724256,Integral
1180000,12712,12787.564811261143,12674.90347798361,-0.5909241702892375,0.29267695869106725,0.5909241702892375,0.29267695869106725,0.29824721159817025,Integral
